source,id,SM_id,show_type,link_details,movie_title,series_title,episode_title,release_year,link_expired,Projectx_ids,Variant id present for episode,Variant parent id for Episode,Projectx_series_id,comment,Result,Gb_id duplicate,Duplicate ids in search,Credit_match,Rovi_id count for duplicate,Gb_id count for duplicate,GuideBox_id count for duplicate,Mapped rovi_id for duplicate,Mapped Gb_id for duplicate,Mapped GuideBox_id for duplicate,variant_parent_id_present,variant_parent_id,link_fetched_from,Sources of link
GuideBox,937591,19810,SE,,,VICE News,"VICE News Daily: Beyond The Headlines - September 3, 2014",,,,,,,No links for this episode,No links for this episode,,,,,
GuideBox,7773783,19811,SE,,,VICE Sports,America's Ping Pong Prodigy: The 16 Project,,,,,,,No links for this episode,No links for this episode,,,,,
GuideBox,7769449,19812,SE,,,The I Files,"Oscar Grant's mom won't let her son be forgotten, The Aftermath series",,,,,,,No links for this episode,No links for this episode,,,,,
GuideBox,7761038,19813,SE,,,iamOTHER,OTHERtone on Beats 1 with N.E.R.D at Complexcon,,,,,,,No links for this episode,No links for this episode,,,,,
GuideBox,2754546,19814,SE,,,Reserve Channel,Mesa Coyoacan's Mexican Esquites | food.curated.,,,,,,,No links for this episode,No links for this episode,,,,,
GuideBox,7466177,19815,SE,,,THUMP,"Glasgow's Magical Leyline: Optimo, Liquid Liquid, Rubadub and Becky Marshall.",,,,,,,No links for this episode,No links for this episode,,,,,
GuideBox,7598800,19816,SE,,,Rule Britannia,Life After Steel in the UK's Most Polluted Town: Rule Britannia,,,,,,,No links for this episode,No links for this episode,,,,,
GuideBox,7775501,19817,SE,,,VICE Specials,Sinking Rich: Speedboat Racing Through a Failed State,,,,,,,No links for this episode,No links for this episode,,,,,
GuideBox,872492,19818,SE,,,The Jim Norton Show,"Dave Attell, Rich Vos, and Sherrod Small (Part 2)",,,,,,,No links for this episode,No links for this episode,,,,,
GuideBox,5248536,19819,SE,,,Weediquette,WEEDIQUETTE - Stoned Kids: Beginner's Dose (Exclusive Preview),,,,,,,No links for this episode,No links for this episode,,,,,
GuideBox,4097406,19820,SE,,,Mexicalia,Blood For Water: Fighting for the Rainy Season in Mexico,,,,,,,No links for this episode,No links for this episode,,,,,
GuideBox,853182,19821,SE,,,Live From the Streets,Subscribe to VICE Now!,,,,,,,No links for this episode,No links for this episode,,,,,
GuideBox,861251,19823,SE,,,Hangover Cures,Mushroom Pappardelle and Sicilian Street food,,,,,,,No links for this episode,No links for this episode,,,,,
GuideBox,1063120,19824,SE,,,The Grandmaster,"Wong Kar-wai on ""The Grandmaster"" and the Essence of Kung Fu: VICE Podcast 014",,,,,,,No links for this episode,No links for this episode,,,,,
GuideBox,861240,19825,SE,,,Young Americans (VICE),Where Are We Headed?,,,,,,,No links for this episode,No links for this episode,,,,,
GuideBox,912234,19826,SE,,,Kids Telling Dirty Jokes,David,,,,,,,No links for this episode,No links for this episode,,,,,
GuideBox,845821,19827,SE,,,People Who Just Had Sex,Samantha and Thomas,,,,,,,No links for this episode,No links for this episode,,,,,
GuideBox,861200,19829,SE,,,Venice Biennale,Italy's Most Important Art Fair: The Venice Biennale (Part 3/3),,,,,,,No links for this episode,No links for this episode,,,,,
GuideBox,861198,19830,SE,,,"Apocalypse, Man: World's End According to Michael C. Ruppert","Apocalypse, Man: Michael C. Ruppert on World's End (Part 6)",,,,,,,No links for this episode,No links for this episode,,,,,
GuideBox,861191,19831,SE,,,Conflict in South Sudan,Dispatch Two,,,,,,,No links for this episode,No links for this episode,,,,,
GuideBox,861193,19834,SE,,,Young and Gay in Putin's Russia: VICE News,Young and Gay in Putin's Russia (Part 5/5),,,,,,,No links for this episode,No links for this episode,,,,,
GuideBox,3972330,19835,SE,,,Epicly Later'd: Geoff Rowley,Epicly Later'd: Geoff Rowley (Part 2),,,,,,,No links for this episode,No links for this episode,,,,,
GuideBox,861188,19836,SE,,,VICE News: Crisis in the Central African Republic,Crisis in the Central African Republic: Dispatch Five,,,,,,,No links for this episode,No links for this episode,,,,,
GuideBox,861184,19837,SE,,,Serrano Shoots Cuba,Serrano Shoots Cuba (Part 3),,,,,,,No links for this episode,No links for this episode,,,,,
GuideBox,859916,19838,SE,,,Saving South Sudan,Full Length,,,,,,,No links for this episode,No links for this episode,,,,,
GuideBox,6720472,19839,SE,,,Profiles by VICE,The Ex-Undercover Cop Exposing the UK's Police Corruption,,,,,,,No links for this episode,No links for this episode,,,,,
GuideBox,861175,19841,SE,,,Knapsack Bartender,Competitive Eating in Nevada,,,,,,,No links for this episode,No links for this episode,,,,,
